日期,USDT市值,USDC市值,MarketCap,USDT占比,USDC占比,T+C占比
20260426,189.78,77.82,319.34,59.43%,24.37%,83.80%
20260425,189.67,77.87,318.59,59.53%,24.44%,83.98%
20260424,189.67,78.12,319.02,59.45%,24.49%,83.94%
20260423,188.81,78.36,319.02,59.18%,24.56%,83.75%
20260422,188.5,77.92,318.49,59.19%,24.46%,83.65%
20260421,187.93,78.32,318.67,58.97%,24.58%,83.55%
20260420,187.24,78.28,318.9,58.71%,24.55%,83.26%
20260419,186.88,78.57,320.0,58.40%,24.55%,82.95%
20260418,186.63,78.63,319.41,58.43%,24.62%,83.05%
20260417,185.8,78.79,319.02,58.24%,24.70%,82.94%
20260416,185.48,78.58,317.99,58.33%,24.71%,83.04%
20260415,185.28,78.85,317.72,58.31%,24.82%,83.13%
20260414,184.69,78.91,317.69,58.14%,24.84%,82.97%
20260413,184.43,78.66,317.38,58.11%,24.78%,82.89%
20260412,184.39,79.72,317.72,58.04%,25.09%,83.13%
20260411,184.3,78.78,316.64,58.21%,24.88%,83.09%
20260410,184.12,79.37,316.71,58.13%,25.06%,83.20%
20260409,184.09,78.14,315.44,58.36%,24.77%,83.13%
20260408,184.56,77.82,316.46,58.32%,24.59%,82.91%
20260407,184.07,77.77,315.62,58.32%,24.64%,82.96%
20260406,184.05,77.46,315.19,58.39%,24.58%,82.97%
20260405,184.1,77.42,315.21,58.41%,24.56%,82.97%
20260404,184.11,77.5,315.32,58.39%,24.58%,82.97%
20260403,183.92,77.21,314.87,58.41%,24.52%,82.93%
20260402,184.11,77.04,314.44,58.55%,24.50%,83.05%
20260401,184.03,77.07,313.99,58.61%,24.55%,83.15%
20260331,184.04,77.36,313.99,58.61%,24.64%,83.25%
20260330,184.01,77.62,313.85,58.63%,24.73%,83.36%
20260329,184.05,77.64,314.2,58.58%,24.71%,83.29%
20260328,184.04,77.72,313.44,58.72%,24.80%,83.51%
20260327,184.07,78.1,314.07,58.61%,24.87%,83.47%
20260326,184.11,78.69,314.27,58.58%,25.04%,83.62%
20260325,184.12,78.69,314.25,58.59%,25.04%,83.63%
20260324,184.11,78.65,314.8,58.48%,24.98%,83.47%
20260323,184.12,79.01,315.16,58.42%,25.07%,83.49%
20260322,184.18,79.04,314.97,58.47%,25.09%,83.57%
20260321,184.12,79.09,314.48,58.55%,25.15%,83.70%
20260320,184.15,79.26,315.44,58.38%,25.13%,83.51%
20260319,183.3,79.41,314.0,58.38%,25.29%,83.67%
20260318,184.1,79.62,315.55,58.34%,25.23%,83.57%
20260317,184.04,79.23,314.29,58.56%,25.21%,83.76%
20260316,184.02,79.18,314.32,58.55%,25.19%,83.74%
20260315,184.01,79.21,314.38,58.53%,25.20%,83.73%
20260314,184.0,79.24,314.4,58.52%,25.20%,83.73%
20260313,183.95,78.82,313.59,58.66%,25.13%,83.79%
20260312,183.94,78.8,313.32,58.71%,25.15%,83.86%
20260311,183.8,78.69,312.87,58.75%,25.15%,83.90%
20260310,184.09,78.25,312.65,58.88%,25.03%,83.91%
20260309,183.86,77.28,311.45,59.03%,24.81%,83.85%
20260308,183.93,77.3,311.45,59.06%,24.82%,83.88%
20260307,183.94,77.28,311.7,59.01%,24.79%,83.81%
